graph: 239, count: 27, tot checked: 4272048
graph: 240, count: 27, tot checked: 4272048
graph: 241, count: 27, tot checked: 4272048
graph: 242, count: 27, tot checked: 4272048
graph: 243, count: 27, tot checked: 4272048
graph: 244, count: 27, tot checked: 4272048
graph: 245, count: 27, tot checked: 4272048
graph: 246, count: 27, tot checked: 4272048
graph: 247, count: 27, tot checked: 4272048
graph: 248, count: 27, tot checked: 4272048
graph: 249, count: 27, tot checked: 4272048
graph: 250, count: 27, tot checked: 4272048
graph: 251, count: 27, tot checked: 4272048
graph: 252, count: 27, tot checked: 4272048
graph: 253, count: 27, tot checked: 4272048
graph: 254, count: 27, tot checked: 4272048
graph: 255, count: 27, tot checked: 4272048
graph: 256, count: 27, tot checked: 4272048
graph: 257, count: 27, tot checked: 4272048
graph: 258, count: 27, tot checked: 4272048
graph: 259, count: 27, tot checked: 4272048
graph: 260, count: 27, tot checked: 4272048
graph: 261, count: 27, tot checked: 4272048
graph: 262, count: 27, tot checked: 4272048
graph: 263, count: 27, tot checked: 4272048
graph: 264, count: 27, tot checked: 4272048
graph: 265, count: 27, tot checked: 4272048
graph: 266, count: 27, tot checked: 4272048
graph: 267, count: 27, tot checked: 4272048
graph: 268, count: 27, tot checked: 4272048
graph: 269, count: 27, tot checked: 4272048
graph: 270, count: 27, tot checked: 4272048
graph: 271, count: 27, tot checked: 4272048
graph: 272, count: 27, tot checked: 4272048
graph: 273, count: 27, tot checked: 4272048
graph: 274, count: 27, tot checked: 4272048
graph: 275, count: 27, tot checked: 4272048
graph: 276, count: 27, tot checked: 4272048
graph: 277, count: 27, tot checked: 4272048
graph: 278, count: 27, tot checked: 4272048
graph: 279, count: 27, tot checked: 4272048
graph: 280, count: 27, tot checked: 4272048
graph: 281, count: 27, tot checked: 4272048
graph: 282, count: 27, tot checked: 4272048
graph: 283, count: 27, tot checked: 4272048
graph: 284, count: 27, tot checked: 4272048
graph: 285, count: 27, tot checked: 4272048
graph: 286, count: 27, tot checked: 4272048
graph: 287, count: 27, tot checked: 4272048
graph: 288, count: 27, tot checked: 4272048
graph: 289, count: 27, tot checked: 4272048
graph: 290, count: 27, tot checked: 4272048
graph: 291, count: 27, tot checked: 4272048
graph: 292, count: 27, tot checked: 4272048
graph: 293, count: 27, tot checked: 4272048
graph: 294, count: 27, tot checked: 4272048
graph: 295, count: 27, tot checked: 4272048
graph: 296, count: 27, tot checked: 4272048
graph: 297, count: 27, tot checked: 4272048
graph: 298, count: 27, tot checked: 4272048
graph: 299, count: 27, tot checked: 4272048
graph: 300, count: 27, tot checked: 4272048
graph: 301, count: 27, tot checked: 4272048
graph: 302, count: 27, tot checked: 4272048
graph: 303, count: 27, tot checked: 4272048
graph: 304, count: 27, tot checked: 4272048
graph: 305, count: 27, tot checked: 4272048
graph: 306, count: 27, tot checked: 4272048
graph: 307, count: 27, tot checked: 4272048
graph: 308, count: 27, tot checked: 4272048
graph: 309, count: 27, tot checked: 4272048
graph: 310, count: 27, tot checked: 4272048
graph: 311, count: 27, tot checked: 4272048
graph: 312, count: 27, tot checked: 4272048
graph: 313, count: 27, tot checked: 4272048
graph: 314, count: 27, tot checked: 4272048
graph: 315, count: 27, tot checked: 4272048
graph: 316, count: 27, tot checked: 4272048
graph: 317, count: 27, tot checked: 4272048
graph: 318, count: 27, tot checked: 4272048
graph: 319, count: 27, tot checked: 4272048
graph: 320, count: 27, tot checked: 4272048
graph: 321, count: 27, tot checked: 4272048
graph: 322, count: 27, tot checked: 4272048
graph: 323, count: 27, tot checked: 4272048
graph: 324, count: 27, tot checked: 4272048
graph: 325, count: 27, tot checked: 4272048
graph: 326, count: 27, tot checked: 4272048
graph: 327, count: 2, tot checked: 4272048
graph: 328, count: 2, tot checked: 4272048
graph: 329, count: 2, tot checked: 4272048
graph: 330, count: 2, tot checked: 4272048
graph: 331, count: 27, tot checked: 4272048
graph: 332, count: 27, tot checked: 4272048
graph: 333, count: 27, tot checked: 4272048
graph: 334, count: 27, tot checked: 4272048
graph: 335, count: 27, tot checked: 4272048
graph: 336, count: 27, tot checked: 4272048
graph: 337, count: 27, tot checked: 4272048
graph: 338, count: 27, tot checked: 4272048
graph: 339, count: 27, tot checked: 4272048
graph: 340, count: 27, tot checked: 4272048
graph: 341, count: 27, tot checked: 4272048
graph: 342, count: 27, tot checked: 4272048
graph: 343, count: 27, tot checked: 4272048
graph: 344, count: 27, tot checked: 4272048
graph: 345, count: 27, tot checked: 4272048
graph: 346, count: 27, tot checked: 4272048
graph: 347, count: 27, tot checked: 4272048
graph: 348, count: 27, tot checked: 4272048
graph: 349, count: 27, tot checked: 4272048
graph: 350, count: 27, tot checked: 4272048
graph: 351, count: 27, tot checked: 4272048
graph: 352, count: 27, tot checked: 4272048
graph: 353, count: 27, tot checked: 4272048
graph: 354, count: 27, tot checked: 4272048
graph: 355, count: 27, tot checked: 4272048
graph: 356, count: 27, tot checked: 4272048
graph: 357, count: 27, tot checked: 4272048
graph: 358, count: 27, tot checked: 4272048
graph: 359, count: 27, tot checked: 4272048
graph: 360, count: 27, tot checked: 4272048
graph: 361, count: 27, tot checked: 4272048
graph: 362, count: 27, tot checked: 4272048
graph: 363, count: 27, tot checked: 4272048
graph: 364, count: 27, tot checked: 4272048
graph: 365, count: 2, tot checked: 4272048
graph: 366, count: 27, tot checked: 4272048
graph: 367, count: 27, tot checked: 4272048
graph: 368, count: 27, tot checked: 4272048
graph: 369, count: 27, tot checked: 4272048
graph: 370, count: 27, tot checked: 4272048
graph: 371, count: 2, tot checked: 4272048
graph: 372, count: 27, tot checked: 4272048
graph: 373, count: 27, tot checked: 4272048
graph: 374, count: 27, tot checked: 4272048
graph: 375, count: 27, tot checked: 4272048
graph: 376, count: 27, tot checked: 4272048
graph: 377, count: 27, tot checked: 4272048
graph: 378, count: 27, tot checked: 4272048
graph: 379, count: 27, tot checked: 4272048
graph: 380, count: 4, tot checked: 4272048
graph: 381, count: 27, tot checked: 4272048
graph: 382, count: 27, tot checked: 4272048
graph: 383, count: 27, tot checked: 4272048
graph: 384, count: 27, tot checked: 4272048
graph: 385, count: 27, tot checked: 4272048
graph: 386, count: 27, tot checked: 4272048
graph: 387, count: 27, tot checked: 4272048
graph: 388, count: 27, tot checked: 4272048
graph: 389, count: 27, tot checked: 4272048
graph: 390, count: 27, tot checked: 4272048
graph: 391, count: 27, tot checked: 4272048
graph: 392, count: 27, tot checked: 4272048
graph: 393, count: 27, tot checked: 4272048
graph: 394, count: 27, tot checked: 4272048
graph: 395, count: 27, tot checked: 4272048
graph: 396, count: 27, tot checked: 4272048
graph: 397, count: 27, tot checked: 4272048
